Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
134132;Meschede, KG (Verb) Unter dem Regenbogen;BR Arnsberg;Hochsauerlandkreis;Meschede;4
134156;Schmallenberg, KG Fleckenberg;BR Arnsberg;Hochsauerlandkreis;Schmallenberg;2
134181;Schmallenberg, KG St.Michael;BR Arnsberg;Hochsauerlandkreis;Schmallenberg;1
134211;Schmallenberg, GG (Verb.) Ringstraße;BR Arnsberg;Hochsauerlandkreis;Schmallenberg;3
134247;Attendorn, GG Ennest;BR Arnsberg;Kreis Olpe;Attendorn;3
134259;Attendorn, KG Marienschule;BR Arnsberg;Kreis Olpe;Attendorn;1
134260;Attendorn, KG (Verb.) Sonnenschule;BR Arnsberg;Kreis Olpe;Attendorn;3
134296;Drolshagen, KG (Verb) Gräfin-Sayn-Schule;BR Arnsberg;Kreis Olpe;Drolshagen;2
134387;Finnentrop,GG (Verb) Lennetal Gutenberg;BR Arnsberg;Kreis Olpe;Finnentrop;4
134399;Finnentrop, GG Heggen;BR Arnsberg;Kreis Olpe;Finnentrop;3
134405;Finnentrop, KG (Verb.) Frettertal;BR Arnsberg;Kreis Olpe;Finnentrop;2
134417;Kirchhundem, GG Welschen Ennest;BR Arnsberg;Kreis Olpe;Kirchhundem;3
134429;Kirchhundem, GG St. Katharina;BR Arnsberg;Kreis Olpe;Kirchhundem;3
134454;Kirchhundem, GG am Kreuzberg;BR Arnsberg;Kreis Olpe;Kirchhundem;2
134480;Lennestadt, KG (Verb.) St.-Agatha-Schule;BR Arnsberg;Kreis Olpe;Lennestadt;4
134521;Lennestadt, KG (Verb.) Oene-Elspe-Tal;BR Arnsberg;Kreis Olpe;Lennestadt;3
134533;Lennestadt, GG Marienschule;BR Arnsberg;Kreis Olpe;Lennestadt;2
134569;Lennestadt, GG St. Nikolaus;BR Arnsberg;Kreis Olpe;Lennestadt;5
134570;Lennestadt, KG (Verb.) Franziskus-Schule;BR Arnsberg;Kreis Olpe;Lennestadt;5
134582;Olpe, KG Franz-Hitze-Schule;BR Arnsberg;Kreis Olpe;Olpe;1
134600;Olpe, KG (Verb.) Düringerschule;BR Arnsberg;Kreis Olpe;Olpe;2
134648;Olpe, GG Olpe am Hohenstein;BR Arnsberg;Kreis Olpe;Olpe;4
134661;Wenden, GG Gerlingen;BR Arnsberg;Kreis Olpe;Wenden;2
134685;Wenden, GG Hünsborn;BR Arnsberg;Kreis Olpe;Wenden;2
134703;Wenden, KG (Verb.) Wendener Land;BR Arnsberg;Kreis Olpe;Wenden;2
134727;Hilchenbach, GG Florenburg-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Hilchenbach;2
134739;Hilchenbach, GG Müsen;BR Arnsberg;Kreis Siegen-Wittgenstein;Hilchenbach;3
134764;Siegen, GG (Verb.) auf dem Hubenfeld;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;3
134790;Siegen, GG (Verb.) Eiserfeld;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;4
134831;Siegen, GG Friedrich-Flender-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;6
134843;Siegen, GG Birlenbacherschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;5
134855;Siegen, GG Albert-Schweitzer-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;8
134867;Siegen, GG Glückaufschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;4
134879;Siegen, GG Geisweider;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;7
134892;Siegen, GG Jung-Stilling-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;3
